ra,dec,phot_g_mean_flux
31.46841940098977,38.112567600018366,784366.9786425848
38.770764714494824,37.53516422026039,378813.8519692217
38.13434779801032,39.88649879605044,271585.71104786114
43.98087201193511,41.80670743133736,1.1875471498689264E7
41.51114800070418,43.75474442941928,3060227.912029302
38.30184133284194,42.827477852914875,299592.15895080904
36.2936585388886,43.545437743761255,1.523358826502646E7
39.25720561444009,45.08198033733707,522246.25306186895
39.674838274660765,46.53757511857585,258084.1812125526
30.874311082760617,38.6683727822196,309606.1154212057
26.856234031412757,40.15223374560431,509871.7860650461
31.84807760791834,42.63653065552004,434895.31728610257
24.977910180898995,39.66837126722141,163378.73575405002
22.561604026935477,41.85931066589655,9991597.568220971
29.287080556460268,44.05204280885758,214033.65973956286
24.902445337649915,46.60806934514112,1077080.4849310538
34.396343533829736,46.095743850213104,635819.7625670707
32.08071746658181,46.99265922085463,1114754.936921739
37.368738381798444,49.06157721064147,857080.2444094646
33.66400283124709,49.975682563613134,371708.4803513795
30.128830316387926,47.728257704493494,504803.1199598923
31.490882013745203,49.3712102074457,206980.28538258406
32.68362533417775,51.520006947141646,516656.2961684994
30.055588822460887,52.27305335586485,1059624.5250034176
9.715939852051173,33.03776281246363,1074981.425208969
13.632301108769235,35.598014179773706,232977.5154210517
7.076148046248065,35.29848274240871,4667428.889191947
11.001658998473623,38.53276365538698,912456.2872666221
18.095398241726308,38.12015971575267,400460.670694262
17.429382400183062,40.398675961834414,242735.04015519377
18.369002170493015,40.91966295757669,225981.37704673086
13.363732150063537,39.78489392802038,1321630.2848181422
11.844290783996819,42.620483365132316,271696.76704047987
17.47584418758764,45.00176004540388,998560.0045450716
13.47371724278283,45.9448599568441,1246696.2271338124
3.7897031348380716,39.67530027039711,282034.4565753823
6.000679760398056,42.408741801697964,657959.6247312414
4.5431330360730895,41.478531959903634,328782.78533764585
1.24685662036182,44.04608358244578,202842.1502174563
3.81775249927442,45.1792049778602,1.2806459123040058E7
1.1293347530770548,46.6222891043664,252437.7234530289
6.20476482869798,44.96388431070817,292115.12032073125
10.894321592476382,48.06325629270627,565388.636700924
5.184704728399075,46.15590327248945,225015.6954301196
4.662811579794209,48.32223517748219,603016.44282427
1.355012101469934,49.0833641500229,501842.7422436291
6.066942826659642,50.30594077395777,4985756.1991649745
2.7641608285805557,50.82938851796959,451656.0038102918
2.3674779808389377,52.663965352269194,418259.5172397228
23.059896114291238,44.279210251696085,229316.81932787126
20.395570945139614,46.7584059152326,486159.0523465204
22.940187247364793,48.60829105052295,2474179.285518694
21.84630340540023,50.41896787374789,918828.1167722341
14.914841339907262,47.55993552796942,265256.457240914
19.108176015125984,48.76344178027831,180563.03906885145
15.544597245122572,50.72772542244829,1126030.1907856616
15.9670839483453,53.65280592857884,1566382.4138505696
24.911462072909615,52.179275794722656,1039178.1647817919
28.02459915253378,51.80608771205496,176092.648170981
28.380770469595337,54.39918626226356,1944473.3200698446
23.923850397733915,54.351089271585906,339927.40925802547
24.15735340790788,55.838264020800175,230916.75829347677
19.472051693601014,54.04810842640217,400406.75072236767
17.826105021990934,55.41415236130592,2604178.057060476
21.175427625785126,55.66336619449154,672367.4096179361
22.41445722748065,57.73106855154632,276559.72478798754
17.729983292562494,58.09896092862051,1028559.3797326416
10.242412207206916,49.868285274371395,2445900.38188191
8.759359188726153,53.154206793951346,1117017.3688885628
10.483768727583456,54.344057906822904,718690.2130694014
8.246212835479499,55.78744452029031,369395.48972265795
4.849991965178794,53.139349651626354,183982.809596298
5.126823148858985,54.942754877987724,450111.38738956605
1.1462400357150209,54.92043715071187,1593226.3002251964
0.658872633225902,56.657291527911035,309677.42977209506
4.787506937362522,56.745507703388846,230781.71305464068
3.8686213367409925,56.13597888442587,1114612.4168580028
3.2332582374449648,58.486700008195086,411369.4799435501
15.461815600581717,55.838694306359734,1.0052518230100732E7
15.556574628188075,57.53283980430409,269405.8521777147
11.598883187805123,57.13888306749594,372778.8647477891
10.87894064573663,58.73561836364829,1460211.8148791336
16.424267485718065,59.18186827324427,533837.2940256898
16.63330451060903,60.54320360638764,286335.9302300631
11.779963007293073,60.6178478503291,1582462.3745684596
11.016239819487526,61.818870077205965,911338.1088848412
6.287871340879706,59.612123799085786,284635.1648534546
6.094692925378677,61.32688603864763,375700.49337500695
1.5761272635563113,61.07038358056788,2172467.9561153147
0.7308413727581542,62.97512150860176,301010.1332909307
7.175124224624714,62.56767520877257,1733720.7377937716
5.377901379510579,64.28684340676934,1170274.9159710412
1.2413498547127897,63.97593777345495,318914.1829549302
44.8856071164238,43.930814703575024,418471.17736207397
43.27754060648,45.7209752765727,454561.9768010855
47.85556789786373,47.54395494681506,657235.2585854743
48.88833565413123,49.15491697789146,1.1737578318776898E7
43.42964282215019,47.61388746704522,2429712.9852657667
39.34758065603541,48.54803079867398,248535.2065924275
46.34976292089417,49.83090722127492,407896.47307581006
42.67307088458732,52.32429190867306,3648984.478628563
52.80001388518442,50.671759231968245,381002.2170588082
58.30304078471902,54.040889930828605,381410.0530574697
48.588189070340235,52.98468841367546,571317.811109838
52.26098728699391,54.719768024978315,541424.9339336908
54.60228536473194,58.56397789601172,876015.9980636484
37.92414079263251,50.51519196973996,463813.96813756705
37.37224040486335,51.36345045683458,658356.9163354023
38.05574244206105,53.1987319811306,478252.4144479479
43.967277075514204,54.80693229193548,292709.78585754015
41.59462774266406,55.446879331785624,200429.93970652783
33.81572440427673,52.3845673562291,328971.5890755876
33.91408771781974,54.249483115630035,280461.663785169
31.53938894361423,54.76448235401565,177747.38465719842
33.26274236691213,56.11990647140555,191910.5049848657
36.9812769877132,56.597219482207244,6319927.461373685
38.547708695369465,58.40548447694184,6070044.812241922
33.775356942085274,57.586453243873116,3252688.9250419843
35.26964752907742,59.55026565177346,732611.6818370824
43.735885582976564,57.08051512306385,477734.0429658488
48.79357845530404,57.91644397149546,204386.78568958942
51.98961512941156,61.44409902617228,330514.87329858815
49.42636415899731,62.35274506851802,7605953.683748699
44.50581134352634,60.47448705161949,242036.56621627888
38.69853601247082,61.438091024552094,167156.39641006093
44.893385997571585,60.56191718680972,396292.629205619
46.70561568637802,63.20970924727897,189261.7160576935
46.28963370973203,65.00072535469326,836931.3635611887
64.17782552168845,58.15485538125945,515453.1066788981
62.83899019200379,59.462181693149255,467781.79442980996
69.77348933012547,61.40054713420438,5095077.629991766
56.36826858658002,58.430038604542005,471774.5368870053
55.32339290214719,61.1347335379756,508658.1126086534
69.4458306037176,63.26627282429911,992904.9711688635
72.80566659350625,61.52656184731574,4220446.655812787
71.67892596799138,63.96087282270268,619570.5946919875
86.4678860230822,65.86531262973983,3713585.371724092
86.3492254886418,68.38723115809205,3061490.6064558444
72.36334672959828,66.46157470157057,270595.16689179355
82.1942354377331,68.51612807525831,525679.3806088393
82.0943380161968,70.41841604223094,585711.0004975105
56.18151378212242,62.54060095086448,459061.4926965041
57.96774669652971,65.04772313191647,2045954.6770832282
59.634871036305825,66.83127749290823,258379.5761493761
55.370767696720726,66.92208603449679,368150.5645739196
55.969427435306486,67.68469354911294,302177.6549383105
56.88001189975216,70.2352674927908,454682.7071235299
72.96666573808882,69.6731764763018,730305.0461131862
74.41702432972902,71.7514738584668,449312.9165606808
77.44443197812431,71.54426799150374,5062174.150777943
68.51478117789885,71.47330521462797,979095.749766575
61.587173696142486,72.04022331567016,1064210.7216510407
77.19097402549136,73.90177952551143,1033841.7689800541
84.76325837510035,76.24440663835108,419344.3568746929
27.786314056330372,56.18438234938203,230396.10417645876
29.297551455741402,57.27599708531618,211336.47520440418
26.040644796926177,56.88340817511059,615495.9001141428
26.858563288415496,58.46796989387,418177.30295499606
31.80021564145852,58.78774856914831,2.126212025866415E7
32.24550569376612,60.1942587922209,1.0313496141813174E7
28.406510865420607,61.82802180695461,321599.7579676016
24.58629827090454,58.69807631389832,3889778.919075153
25.050193834426274,60.72064557495229,232005.77354057107
22.19230994720665,60.311824544012126,819619.8939343141
21.69026774038663,61.866456248438396,7146756.489155104
25.544049341371572,61.71325909298605,1628239.6893280104
27.942473918466614,64.08686775492733,1334450.1672789527
